"Concordance"
"S308"	0.878874
"S309"	0.887932
"S30"	NA
"S311"	0.897464
"S312"	0.893584
"S313"	0.893476
"S314"	0.900196
"S315"	0.903244
"S316"	0.871584
"S317"	0.900209
"S318"	0.886209
"S319"	0.894341
"S31"	0.894525
"S320"	0.874184
"S321"	0.742038
"S322"	0.87817
"S323"	0.889601
"S324"	0.886621
"S325"	0.899143
"S327"	0.898166
"S328"	0.893295
"S329"	0.88855
"S32"	0.879341
"S330"	0.889459
"S331"	0.896051
"S332"	0.870461
"S335"	0.890913
"S336"	0.897951
"S337"	0.872899
"S338"	0.905849
"S339"	0.895678
"S33"	0.894206
"S340"	0.895886
"S341"	0.894349
"S342"	0.891038
"S343"	0.897082
"S344"	0.888376
"S345"	0.895265
"S346"	0.885644
"S347"	0.890783
"S348"	0.876979
"S349"	0.890246
"S34"	0.891008
"S352"	0.89604
"S353"	0.900591
"S354"	0.881382
"S355"	0.900683
"S356"	0.888572
"S357"	0.899037
"S358"	0.901195
"S359"	0.868382
"S35"	0.888889
"S360"	0.885351
"S361"	0.887959
"S362"	0.900967
"S363"	0.890744
"S364"	0.884487
"S365"	0.901424
"S366"	0.885617
"S367"	0.892731
"S368"	0.884838
"S36"	0.88643
"S370"	0.886974
"S371"	0.896645
"S372"	0.871108
"S373"	0.900432
"S374"	0.890178
"S376"	0.894861
"S377"	0.883579
"S378"	0.891078
"S379"	0.891892
"S37"	0.890574
"S380"	0.886614
"S381"	0.89404
"S383"	0.884611
"S384"	0.895516
"S385"	0.888899
"S386"	0.876897
"S387"	0.886306
"S388"	0.896439
"S389"	0.885639
"S38"	0.88679
"S390"	0.882268
"S391"	0.889253
"S392"	0.892348
"S393"	0.893542
"S394"	0.888909
"S396"	0.885143
"S397"	0.856362
"S398"	0.889338
"S39"	0.878921
"S3"	0.895585
"S400"	0.893888
"S401"	0.892985
"S402"	0.883321
"S403"	0.874604
"S404"	0.861429
"S405"	0.894819
"S406"	0.899327
"S407"	0.891198
"S408"	0.887906
"S409"	0.888779
"S40"	0.896614
"S410"	0.877423
"S411"	0.901026
"S412"	0.897895
"S413"	0.886358
"S414"	0.9035
"S415"	0.897621
"S416"	0.897245
"S417"	0.886034
"S419"	0.884805
"S41"	0.891898
"S420"	0.757085
"S421"	0.894798
"S422"	0.886902
"S423"	0.898751
"S424"	0.894721
"S425"	0.886143
"S426"	0.887229
"S427"	0.878169
"S428"	0.883636
"S429"	0.893342
"S42"	0.87615
"S430"	0.889059
"S431"	0.877697
"S432"	0.892255
"S433"	0.876187
"S434"	0.890656
"S436"	0.855629
"S437"	0.899308
"S438"	0.888347
"S43"	0.874148
"S440"	0.893993
"S441"	0.868788
"S442"	0.899437
"S443"	0.880771
"S444"	0.873298
"S447"	0.894737
"S448"	0.890082
"S44"	0.885924
"S450"	0.895794
"S451"	0.895436
"S452"	0.887517
"S453"	0.86899
"S454"	0.890987
"S455"	0.894212
"S456"	0.87995
"S457"	0.893522
"S458"	0.895618
"S459"	0.890048
"S45"	0.905611
"S460"	0.889614
"S461"	0.883092
"S462"	0.884801
"S463"	0.893779
"S464"	0.888079
"S465"	0.897461
"S466"	0.886023
"S467"	0.893513
"S468"	0.900199
"S469"	0.864173
"S46"	0.878705
"S470"	0.897415
"S471"	0.890861
"S472"	0.88117
"S473"	0.895724
"S474"	0.894848
"S475"	0.900061
"S476"	0.896414
"S478"	0.89735
"S479"	0.865158
"S481"	0.890253
"S482"	0.904189
"S483"	0.893783
"S484"	0.901366
"S485"	0.909083
"S486"	0.899982
"S487"	0.894711
"S488"	0.893623
"S489"	0.901292
"S48"	0.880382
"S491"	0.900477
"S492"	0.900279
"S493"	0.890553
"S494"	0.887106
"S495"	0.892067
"S496"	0.888147
"S497"	0.894936
"S498"	0.889373
"S499"	0.882139
"S49"	NA
"S4"	0.886597
"S500"	0.88272
"S501"	0.873358
"S502"	0.897027
"S50"	NA
"S51"	0.891302
"S52"	0.889744
"S53"	0.8929
"S54"	0.868447
"S56"	0.87435
"S57"	0.887918
"S58"	0.896973
"S59"	0.893584
"S60"	0.89828
"S61"	0.847578
"S62"	0.80543
"S63"	0.903561
"S64"	0.889158
"S65"	0.882438
"S66"	0.886959
"S67"	0.886381
"S68"	0.907567
"S69"	0.885189
"S6"	0.88617
"S71"	0.858947
"S72"	0.887856
"S73"	0.887615
"S74"	0.894238
"S76"	0.902581
"S77"	0.872965
"S79"	0.898039
"S7"	0.889587
"S80"	0.899189
"S81"	0.889789
"S82"	0.896942
"S83"	0.895622
"S84"	0.89956
"S85"	0.888809
"S86"	0.89587
"S87"	0.890215
"S88"	0.897232
"S89"	0.884769
"S8"	NA
"S90"	0.878866
"S91"	0.889828
"S92"	0.888004
"S93"	0.895821
"S94"	0.877891
"S95"	0.89621
"S96"	0.886479
"S98"	0.896863
"S99"	0.901603
"S9"	0.894033
