FileName	Sample Name
WTCHG_443729_224192	S355
WTCHG_443729_225109	S31
WTCHG_443729_226121	FG23M
WTCHG_443729_227133	S490
WTCHG_443729_228145	S280
WTCHG_443729_229157	S301
WTCHG_443729_230169	S36
WTCHG_443729_231181	S54
WTCHG_443729_232193	S33
WTCHG_443729_233110	S49
WTCHG_443729_234122	S73
WTCHG_443729_235134	S172
WTCHG_443729_236146	S494
WTCHG_443729_237158	S95
WTCHG_443729_238170	S316
WTCHG_443729_239182	S165
WTCHG_443729_240194	S284
WTCHG_443729_241111	S77
WTCHG_443729_242123	S364
WTCHG_443729_243135	S451
WTCHG_443729_244147	S111
WTCHG_443729_245159	S80
WTCHG_443729_246171	S214
WTCHG_443729_247183	FG92
WTCHG_443729_248195	FG84
WTCHG_443729_249112	S383
WTCHG_443729_250124	S390
WTCHG_443729_251136	FG148F
WTCHG_443729_252148	FG148M
WTCHG_443729_257101	S19
WTCHG_443729_259125	S143
WTCHG_443729_261149	FG116
WTCHG_443729_262161	FG83F
WTCHG_443729_263173	S184
WTCHG_443729_264185	S372
WTCHG_443729_265102	FG26R
WTCHG_443729_266114	S129
WTCHG_443729_267126	S481
WTCHG_443729_268138	FG78M
WTCHG_443729_269150	FG119M
WTCHG_443729_270162	S105
WTCHG_443729_271174	S199
WTCHG_443729_272186	S382
WTCHG_443729_273103	FG95
WTCHG_443729_274115	FG145
WTCHG_443729_275127	S20
WTCHG_443729_276139	S337
WTCHG_443729_277151	S408
WTCHG_443729_278163	S197
WTCHG_443729_279175	S441
WTCHG_443729_280187	S210
WTCHG_443729_281104	S457
WTCHG_443729_282116	S380
WTCHG_443729_283128	FG108M
WTCHG_443729_284140	S157
WTCHG_443729_285152	S60
WTCHG_443729_286164	S25
WTCHG_443729_287176	S262
WTCHG_443729_288188	S415
WTCHG_443729_289105	S193
WTCHG_443729_290117	S418
WTCHG_443729_291129	S236
WTCHG_443729_292141	S425
WTCHG_443729_293153	S270
WTCHG_443729_294165	FG113F
WTCHG_443729_295177	S324
WTCHG_443729_296189	FG82
WTCHG_443730_201106	S243
WTCHG_443730_201191	S97
WTCHG_443730_202118	S302
WTCHG_443730_203130	S132
WTCHG_443730_204142	S40
WTCHG_443730_205154	S171
WTCHG_443730_207119	S174
WTCHG_443730_208107	S196
WTCHG_443730_209190	S358
WTCHG_443730_210178	FG124F
WTCHG_443730_213142	S448
WTCHG_443730_214130	S224
WTCHG_443730_216106	FG150M
WTCHG_443730_217189	S203
WTCHG_443730_218177	S90
WTCHG_443730_223117	S465
WTCHG_443730_226176	S290
WTCHG_443730_230128	S422
WTCHG_443730_235163	S88
WTCHG_443730_240103	S181
WTCHG_443730_242174	S11
WTCHG_443730_249185	S125
WTCHG_443730_250173	S384
WTCHG_443730_257101	S164
WTCHG_443730_257196	S161
WTCHG_443730_258113	S306
WTCHG_443730_258184	S274
WTCHG_443730_259125	S84
WTCHG_443730_259172	FG44M
WTCHG_443730_260137	S38
WTCHG_443730_260160	S363
WTCHG_443730_261148	S34
WTCHG_443730_261149	S439
WTCHG_443730_262136	S208
WTCHG_443730_263173	S229
WTCHG_443730_264112	S287
WTCHG_443730_264185	S322
WTCHG_443730_265102	S295
WTCHG_443730_265195	S413
WTCHG_443730_266114	FG74F
WTCHG_443730_266183	S59
WTCHG_443730_267126	S328
WTCHG_443730_267171	S113
WTCHG_443730_268159	FG88
WTCHG_443730_269150	S258
WTCHG_443730_270135	S55
WTCHG_443730_270162	FG138
WTCHG_443730_271123	FG125F
WTCHG_443730_271174	S381
WTCHG_443730_273103	S281
WTCHG_443730_273194	S303
WTCHG_443730_274115	S12
WTCHG_443730_274182	S110
WTCHG_443730_275127	S86
WTCHG_443730_275170	FG124M
WTCHG_443730_276139	FG81F
WTCHG_443730_277151	S30
WTCHG_443730_278163	S336
WTCHG_443730_279122	FG156
WTCHG_443730_279175	S398
WTCHG_443730_280110	S94
WTCHG_443730_280187	FG130M
WTCHG_443730_281104	S52
WTCHG_443730_281193	FG136
WTCHG_443730_282116	S272
WTCHG_443730_282181	S225
WTCHG_443730_283128	S37
WTCHG_443730_283169	S120
WTCHG_443730_284140	S421
WTCHG_443730_285152	S61
WTCHG_443730_286164	S137
WTCHG_443730_287176	S486
WTCHG_443730_288109	S430
WTCHG_443730_288188	S130
WTCHG_443730_289105	S414
WTCHG_443730_289192	S498
WTCHG_443730_290117	S291
WTCHG_443730_290180	S278
WTCHG_443730_291168	S51
WTCHG_443730_292141	FG101
WTCHG_443730_293153	S317
WTCHG_443730_294165	FG39R
WTCHG_443730_295120	S115
WTCHG_443730_295177	FG156M
WTCHG_443731_201106	S243
WTCHG_443731_201191	S97
WTCHG_443731_202118	S302
WTCHG_443731_203130	S132
WTCHG_443731_204142	S40
WTCHG_443731_205154	S171
WTCHG_443731_207119	S174
WTCHG_443731_208107	S196
WTCHG_443731_209190	S358
WTCHG_443731_210178	FG124F
WTCHG_443731_213142	S448
WTCHG_443731_214130	S224
WTCHG_443731_216106	FG150M
WTCHG_443731_217189	S203
WTCHG_443731_218177	S90
WTCHG_443731_223117	S465
WTCHG_443731_226176	S290
WTCHG_443731_230128	S422
WTCHG_443731_235163	S88
WTCHG_443731_240103	S181
WTCHG_443731_242174	S11
WTCHG_443731_249185	S125
WTCHG_443731_250173	S384
WTCHG_443731_257101	S164
WTCHG_443731_257196	S161
WTCHG_443731_258113	S306
WTCHG_443731_258184	S274
WTCHG_443731_259125	S84
WTCHG_443731_259172	FG44M
WTCHG_443731_260137	S38
WTCHG_443731_260160	S363
WTCHG_443731_261148	S34
WTCHG_443731_261149	S439
WTCHG_443731_262136	S208
